,Rank,Name,Team,League,Nation,OVR,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Position,SHO,Finishing,Shot Power,Penalties,Reactions,Preferred foot
19,222,Jordan Pickford,Everton,Premier League,England,83,83,78,88,80,87,GK,78,19,66,48,77,Left
20,222,Nick Pope,Newcastle Utd,Premier League,England,83,82,82,75,82,85,GK,82,14,56,22,80,Right
21,222,Ivan Provedel,Latium,Serie A Enilive,Italy,83,84,79,80,84,85,GK,79,17,60,22,75,Right
22,222,David Raya,Arsenal,Premier League,Spain,83,82,81,86,81,82,GK,81,19,65,26,80,Right
23,322,Oliver Baumann,TSG Hoffenheim,Bundesliga,Germany,82,81,80,78,79,83,GK,80,11,59,22,82,Right
24,322,Marco Carnesecchi,Bergamo Calcio,Serie A Enilive,Italy,82,84,79,71,83,85,GK,79,8,53,17,70,Right
25,322,Koen Casteels,Al Qadisiyah,ROSHN Saudi League,Belgium,82,82,79,74,83,85,GK,79,15,56,20,79,Left
26,322,Paulo Gazzaniga,Girona FC,LALIGA EA SPORTS,Argentina,82,82,80,83,82,81,GK,80,12,62,40,78,Right
27,322,Péter Gulácsi,RB Leipzig,Bundesliga,Hungary,82,82,82,75,83,81,GK,82,10,56,24,79,Right
28,322,Jeremías Conan Ledesma,River Plate,Libertadores,Argentina,82,82,79,75,81,83,GK,79,16,56,25,78,Right
29,322,Bernd Leno,Fulham,Premier League,Germany,82,83,79,76,82,84,GK,79,9,57,23,75,Right
30,322,Brice Samba,RC Lens,Ligue 1 McDonald's,France,82,79,83,80,81,84,GK,83,9,60,15,80,Left
31,322,Kevin Trapp,Frankfurt,Bundesliga,Germany,82,82,80,76,79,84,GK,80,13,57,17,83,Right
32,458,Alphonse Areola,West Ham,Premier League,France,81,82,77,74,80,83,GK,77,19,56,25,79,Right
33,458,Rui Silva,Real Betis,LALIGA EA SPORTS,Portugal,81,82,76,77,81,84,GK,76,20,58,30,73,Right
34,458,Andriy Lunin,Real Madrid,LALIGA EA SPORTS,Ukraine,81,80,78,77,80,82,GK,78,8,58,19,80,Right
35,458,Alex Meret,SSC Napoli,Serie A Enilive,Italy,81,80,78,72,83,84,GK,78,17,54,21,76,Left
36,458,Fernando Muslera,Galatasaray,Trendyol Süper Lig,Uruguay,81,81,81,71,82,80,GK,81,10,53,24,79,Right
37,458,Stefan Ortega,Manchester City,Premier League,Germany,81,79,77,86,81,84,GK,77,15,65,24,78,Right
38,458,Aaron Ramsdale,Southampton,Premier League,England,81,81,79,85,78,83,GK,79,14,64,25,79,Right
39,458,David Soria,Getafe CF,LALIGA EA SPORTS,Spain,81,81,79,73,80,82,GK,79,19,55,23,79,Right
40,458,Álvaro Valles,UD Las Palmas,LALIGA EA SPORTS,Spain,81,80,79,79,81,83,GK,79,6,59,14,78,Right
41,577,Walter Benítez,PSV,Eredivisie,Argentina,80,79,78,72,79,82,GK,78,14,54,25,77,Right
42,577,Lucas Chevalier,LOSC Lille,Ligue 1 McDonald's,France,80,80,79,72,78,83,GK,79,9,54,16,79,Right
43,577,Michele Di Gregorio,Juventus,Serie A Enilive,Italy,80,82,78,78,82,82,GK,78,9,59,17,68,Right
44,577,Wladimiro Falcone,Lecce,Serie A Enilive,Italy,80,83,79,75,76,84,GK,79,19,56,29,68,Right
45,577,Bento,Al Nassr,ROSHN Saudi League,Brazil,80,79,76,77,81,83,GK,76,5,58,15,77,Right
46,577,Dominik Livaković,Fenerbahçe,Trendyol Süper Lig,Croatia,80,80,76,71,80,83,GK,76,12,53,15,81,Right
47,577,Édouard Mendy,Al Ahli,ROSHN Saudi League,Senegal,80,78,77,75,79,81,GK,77,5,56,13,80,Right
48,577,Alexander Nübel,VfB Stuttgart,Bundesliga,Germany,80,81,76,81,78,82,GK,76,18,61,16,79,Right
49,577,Kasper Schmeichel,Celtic,Scottish Prem,Denmark,80,77,76,79,80,78,GK,76,12,59,26,80,Right
50,577,Lars Unnerstall,FC Twente,Eredivisie,Germany,80,80,80,66,80,83,GK,80,13,50,16,75,Right
51,736,Kepa,AFC Bournemouth,Premier League,Spain,79,78,77,83,77,82,GK,77,11,62,23,76,Right
52,736,Emil Audero,Como,Serie A Enilive,Italy,79,80,74,73,76,83,GK,74,16,55,22,76,Right
53,736,Marco Bizot,Stade Brestois 29,Ligue 1 McDonald's,Holland,79,79,76,72,79,80,GK,76,15,54,36,76,Right
54,736,Marcin Bułka,OGC Nice,Ligue 1 McDonald's,Poland,79,79,76,71,79,81,GK,76,8,53,18,73,Right
55,736,Stole Dimitrievski,Valencia CF,LALIGA EA SPORTS,North Macedonia,79,78,80,74,78,79,GK,80,20,56,21,77,Right
56,736,Mark Flekken,Brentford,Premier League,Holland,79,80,74,83,77,82,GK,74,16,62,23,78,Right
57,736,Dean Henderson,Crystal Palace,Premier League,England,79,80,76,78,75,81,GK,76,9,59,16,75,Right
58,736,Matheus,SC Braga,Liga Portugal,Brazil,79,82,75,81,77,80,GK,75,12,61,13,75,Right
59,736,Hugo Lloris,LAFC,MLS,France,79,81,76,67,78,82,GK,76,10,50,40,75,Left
60,736,Anthony Lopes,OL,Ligue 1 McDonald's,Portugal,79,80,76,69,76,83,GK,76,18,52,16,78,Left
61,736,Pau López,Girona FC,LALIGA EA SPORTS,Spain,79,77,77,79,80,82,GK,77,19,59,25,74,Left
62,736,Robert Sánchez,Chelsea,Premier League,Spain,79,79,77,75,79,80,GK,77,12,56,17,78,Right
63,736,José Sá,Wolves,Premier League,Portugal,79,80,75,70,78,81,GK,75,15,53,11,77,Right
64,736,Juan Musso,Atlético de Madrid,LALIGA EA SPORTS,Argentina,79,79,77,73,81,82,GK,77,18,55,25,70,Right
65,736,Jonas Omlin,M'gladbach,Bundesliga,Switzerland,79,79,77,76,75,82,GK,77,17,57,27,74,Right
66,736,Mattia Perin,Juventus,Serie A Enilive,Italy,79,79,79,71,79,81,GK,79,11,53,21,74,Right
67,736,Đorđe Petrović,Strasbourg,Ligue 1 McDonald's,Serbia,79,79,78,73,77,81,GK,78,11,55,13,79,Right
68,736,Frederik Rønnow,Union Berlin,Bundesliga,Denmark,79,79,79,69,78,81,GK,79,9,52,17,76,Right
69,736,Gerónimo Rulli,OM,Ligue 1 McDonald's,Argentina,79,78,76,80,79,81,GK,76,15,60,24,77,Right
70,736,Łukasz Skorupski,Bologna,Serie A Enilive,Poland,79,79,76,68,78,83,GK,76,11,51,22,76,Right
71,736,Pietro Terracciano,Fiorentina,Serie A Enilive,Italy,79,80,77,73,79,83,GK,77,11,55,22,70,Right
72,970,Roman Bürki,St. Louis CITY SC,MLS,Switzerland,78,82,75,60,73,82,GK,75,8,45,20,75,Right
73,970,Dénes Dibusz,Ferencvárosi TC,Magyar Liga,Hungary,78,77,72,74,77,82,GK,72,15,56,19,74,Right
74,970,Marko Dmitrović,CD Leganés,LALIGA EA SPORTS,Serbia,78,76,77,78,79,78,GK,77,20,59,58,75,Left
75,970,Lucas Perri,OL,Ligue 1 McDonald's,Brazil,78,81,73,80,75,81,GK,73,11,60,19,71,Right
76,970,Guaita,RC Celta,LALIGA EA SPORTS,Spain,78,78,77,78,77,78,GK,77,11,59,29,74,Right
77,970,Sergio Herrera,CA Osasuna,LALIGA EA SPORTS,Spain,78,78,77,75,76,78,GK,77,16,56,32,77,Right
78,970,Sam Johnstone,Wolves,Premier League,England,78,79,79,69,76,80,GK,79,11,52,42,73,Right
79,970,Steve Mandanda,Stade Rennais FC,Ligue 1 McDonald's,France,78,75,77,74,77,79,GK,77,13,56,11,77,Right
80,970,Simon Mignolet,Club Brugge,1A Pro League,Belgium,78,77,75,73,81,80,GK,75,11,55,41,73,Right
81,970,Neto,Arsenal,Premier League,Brazil,78,80,72,73,76,82,GK,72,15,55,22,78,Right
82,970,Predrag Rajković,Al Ittihad,ROSHN Saudi League,Serbia,78,77,76,74,79,81,GK,76,9,56,20,73,Right
83,970,Guillaume Restes,Toulouse FC,Ligue 1 McDonald's,France,78,78,74,80,77,80,GK,74,9,60,15,72,Left
84,970,Sergio Romero,Boca Juniors,Sudamericana,Argentina,78,79,75,70,77,81,GK,75,14,53,16,74,Right
85,970,Mathew Ryan,AS Roma,Serie A Enilive,Australia,78,76,78,80,77,79,GK,78,14,60,26,69,Right
86,970,Anatoliy Trubin,SL Benfica,Liga Portugal,Ukraine,78,72,76,77,84,82,GK,76,9,58,18,70,Right
87,1218,Agirrezabala,Athletic Club,LALIGA EA SPORTS,Spain,77,78,75,73,79,75,GK,75,7,55,13,69,Left
88,1218,Luís Maximiano,UD Almería,LALIGA HYPERMOTION,Portugal,77,77,75,72,72,79,GK,75,5,54,13,78,Right
89,1218,Franco Armani,River Plate,Libertadores,Argentina,77,74,76,68,79,80,GK,76,11,51,20,73,Right
90,1218,Justin Bijlow,Feyenoord,Eredivisie,Holland,77,80,75,77,74,77,GK,75,10,58,16,76,Right
91,1218,Janis Blaswich,RB Salzburg,Ö. Bundesliga,Germany,77,77,75,70,76,80,GK,75,18,53,30,74,Right
92,1218,Jean Butez,Royal Antwerp FC,1A Pro League,France,77,76,76,78,77,78,GK,76,17,59,21,73,Right
93,1218,Jack Butland,Rangers,Scottish Prem,England,77,78,75,74,76,77,GK,75,16,56,43,70,Right
94,1218,Uğurcan Çakır,Trabzonspor,Trendyol Süper Lig,Turkey,77,78,76,74,80,73,GK,76,13,56,23,73,Right
95,1218,Jasper Cillessen,UD Las Palmas,LALIGA EA SPORTS,Holland,77,76,76,73,77,76,GK,76,10,55,21,77,Right
96,1218,Yehvann Diouf,Stade de Reims,Ligue 1 McDonald's,France,77,77,75,73,75,78,GK,75,8,55,11,74,Right
97,1218,Łukasz Fabiański,West Ham,Premier League,Poland,77,77,78,68,77,76,GK,78,13,51,22,73,Right
98,1218,Aitor,CA Osasuna,LALIGA EA SPORTS,Spain,77,77,74,68,76,80,GK,74,12,51,24,76,Right
99,1218,Marcelo Grohe,Al Kholood,ROSHN Saudi League,Brazil,77,75,75,66,76,83,GK,75,12,50,24,75,Right
100,1218,Mert Günok,Beşiktaş,Trendyol Süper Lig,Turkey,77,74,76,75,78,77,GK,76,15,56,16,74,Right
101,1218,Filip Jörgensen,Chelsea,Premier League,Denmark,77,75,76,77,78,77,GK,76,5,58,10,72,Right
102,1218,Caoimhin Kelleher,Liverpool,Premier League,Republic of Ireland,77,76,74,77,76,78,GK,74,6,58,30,74,Right
103,1218,Benjamin Lecomte,Montpellier,Ligue 1 McDonald's,France,77,76,75,77,75,76,GK,75,11,58,20,75,Left
104,1218,Radosław Majecki,AS Monaco,Ligue 1 McDonald's,Poland,77,77,74,71,75,78,GK,74,19,53,13,74,Right
105,1218,Vanja Milinković-Savić,Torino,Serie A Enilive,Serbia,77,81,76,84,77,77,GK,76,20,63,24,63,Right
106,1218,Lorenzo Montipò,Hellas Verona,Serie A Enilive,Italy,77,75,73,69,75,83,GK,73,20,52,29,74,Right
107,1218,Yvon Mvogo,FC Lorient,Ligue 2 BKT,Switzerland,77,78,77,74,76,77,GK,77,10,56,20,71,Right
108,1218,David Ospina,Atl. Nacional,Liga Colombia,Colombia,77,77,74,78,80,80,GK,74,10,59,26,65,Right
109,1218,Matvey Safonov,Paris SG,Ligue 1 McDonald's,Russia,77,78,74,75,77,80,GK,74,8,56,12,68,Right
110,1218,Marvin Schwäbe,1. FC Köln,Bundesliga 2,Germany,77,77,74,75,74,81,GK,74,15,56,28,71,Right
111,1218,Matz Sels,Nott'm Forest,Premier League,Belgium,77,76,76,79,77,77,GK,76,16,59,22,75,Right
112,1218,Marco Sportiello,Milano FC,Serie A Enilive,Italy,77,76,74,75,80,77,GK,74,18,56,21,70,Right
113,1525,Gabriel Arias,Racing Club,Sudamericana,Chile,76,76,72,72,75,76,GK,72,18,54,26,74,Right
114,1525,Augusto Batalla,Rayo Vallecano,LALIGA EA SPORTS,Argentina,76,77,73,74,74,78,GK,73,14,56,23,73,Right
115,1525,Altay Bayındır,Man Utd,Premier League,Turkey,76,78,73,72,76,79,GK,73,10,54,16,69,Right
116,1525,Georgiy Bushchan,Dynamo Kyiv,Ukrayina Liha,Ukraine,76,77,68,81,75,79,GK,68,5,61,13,77,Right
117,1525,Rui Patrício,Bergamo Calcio,Serie A Enilive,Portugal,76,78,76,77,74,75,GK,76,12,58,32,70,Left
118,1525,Martin Dúbravka,Newcastle Utd,Premier League,Slovakia,76,76,74,78,75,78,GK,74,10,59,20,70,Right
119,1525,Joan García,RCD Espanyol,LALIGA EA SPORTS,Spain,76,76,75,70,74,76,GK,75,6,53,18,74,Right
120,1525,Pierluigi Gollini,Genoa,Serie A Enilive,Italy,76,76,74,73,76,78,GK,74,14,55,21,72,Right
121,1525,Mads Hermansen,Leicester City,Premier League,Denmark,76,76,74,78,75,79,GK,74,9,59,15,67,Right
122,1525,Guido Herrera,Talleres,Libertadores,Argentina,76,76,74,72,75,76,GK,74,17,54,28,71,Left
123,1525,Peter Vindahl Jensen,Sparta Praha,Česká Liga,Denmark,76,77,70,79,74,78,GK,70,15,59,17,75,Right
124,1525,Dominik Kotarski,PAOK FC,Hellas Liga,Croatia,76,78,72,76,73,79,GK,72,6,57,15,73,Right
125,1525,Matěj Kovář,Leverkusen,Bundesliga,Czech Republic,76,74,77,78,78,76,GK,77,9,59,15,68,Right
126,1525,Alban Lafont,FC Nantes,Ligue 1 McDonald's,France,76,75,71,69,76,81,GK,71,6,52,16,69,Right
127,1525,Fernando,UD Almería,LALIGA HYPERMOTION,Spain,76,75,74,74,75,76,GK,74,19,56,26,77,Right
128,1525,Álvaro Montero,Millonarios,Libertadores,Colombia,76,75,74,69,79,76,GK,74,18,52,31,70,Right
129,1525,Ørjan Nyland,Sevilla FC,LALIGA EA SPORTS,Norway,76,76,75,77,74,75,GK,75,11,58,25,73,Right
130,1525,Nick Olij,Sparta Rotterdam,Eredivisie,Holland,76,82,74,62,73,78,GK,74,17,47,27,72,Right
131,1525,Pepe Reina,Como,Serie A Enilive,Spain,76,75,75,77,77,74,GK,75,14,58,24,72,Right
132,1525,Luiz Júnior,Villarreal CF,LALIGA EA SPORTS,Brazil,76,76,75,69,76,77,GK,75,9,52,14,71,Right
133,1525,Manuel Riemann,VfL Bochum 1848,Bundesliga,Germany,76,75,71,80,76,81,GK,71,12,60,34,71,Right
134,1525,Marco Silvestri,Sampdoria,Serie BKT,Italy,76,76,76,60,78,78,GK,76,20,45,16,70,Right
135,1525,Jindřich Staněk,Slavia Praha,Česká Liga,Czech Republic,76,74,71,78,76,78,GK,71,15,59,37,72,Right
136,1525,Bart Verbruggen,Brighton,Premier League,Holland,76,78,72,74,69,81,GK,72,8,56,21,76,Right
137,1525,Timon Wellenreuther,Feyenoord,Eredivisie,Germany,76,77,75,69,75,76,GK,75,9,52,23,74,Right
138,1525,Michael Zetterer,SV Werder Bremen,Bundesliga,Germany,76,76,72,81,73,76,GK,72,16,61,15,76,Right
139,1888,Andre Blake,Philadelphia,MLS,Jamaica,75,74,70,71,78,77,GK,70,13,53,19,71,Right
140,1888,Alberto Brignoli,AEK Athens,Hellas Liga,Italy,75,72,72,78,79,77,GK,72,17,59,22,67,Left
141,1888,Javier Burrai,Barcelona SC,Libertadores,Ecuador,75,75,72,71,73,75,GK,72,19,53,29,74,Right
142,1888,Ricardo Batista,Casa Pia AC,Liga Portugal,Portugal,75,75,74,73,77,75,GK,74,12,55,26,68,Left
143,1888,Andrea Consigli,Sassuolo,Serie BKT,Italy,75,76,73,70,77,75,GK,73,10,53,21,70,Right
144,1888,Andrew,Gil Vicente,Liga Portugal,Brazil,75,76,73,74,72,77,GK,73,4,56,21,71,Right
145,1888,Arthur Desmas,Havre AC,Ligue 1 McDonald's,France,75,75,72,72,73,76,GK,72,18,54,18,74,Right
146,1888,Mory Diaw,Clermont Foot 63,Ligue 2 BKT,Senegal,75,77,74,73,72,78,GK,74,19,55,29,65,Right
147,1888,Matías Dituro,Elche CF,LALIGA HYPERMOTION,Argentina,75,74,72,77,74,77,GK,72,12,58,20,74,Right
148,1888,Alexander Domínguez,LDU Quito,Libertadores,Ecuador,75,76,72,71,75,77,GK,72,11,53,17,70,Right
149,1888,Bartłomiej Drągowski,Panathinaikos,Hellas Liga,Poland,75,77,71,70,72,77,GK,71,12,53,21,73,Right
150,1888,Kamil Grabara,VfL Wolfsburg,Bundesliga,Poland,75,76,75,72,75,76,GK,75,15,54,24,66,Right
151,1888,Franco Israel,Sporting CP,Liga Portugal,Uruguay,75,79,72,71,76,81,GK,72,6,53,11,56,Right
152,1888,Jo Hyeon Woo,Ulsan Hyundai,K League 1,Korea Republic,75,77,72,62,73,78,GK,72,18,47,19,73,Right
153,1888,Thomas Kaminski,Luton Town,EFL Championship,Belgium,75,73,75,70,74,77,GK,75,14,53,24,69,Right
154,1888,Philipp Köhn,AS Monaco,Ligue 1 McDonald's,Switzerland,75,76,73,68,74,76,GK,73,8,51,16,72,Right
155,1888,Jhonatan,Rio Ave FC,Liga Portugal,Brazil,75,76,75,73,74,78,GK,75,12,55,11,64,Right
156,1888,Josep Martínez,Lombardia FC,Serie A Enilive,Spain,75,75,71,67,76,74,GK,71,6,50,18,75,Right
157,1888,Alexander Meyer,Borussia Dortmund,Bundesliga,Germany,75,72,71,77,74,76,GK,71,8,58,12,74,Right
158,1888,Kevin Müller,Heidenheim,Bundesliga,Germany,75,73,71,69,74,78,GK,71,13,52,20,72,Right
159,1888,Arijanet Murić,Ipswich,Premier League,Kosovo,75,76,73,79,74,77,GK,73,12,59,18,60,Right
160,1888,Alexandros Paschalakis,Olympiacos FC,Hellas Liga,Greece,75,76,72,58,75,77,GK,72,12,44,30,70,Right
161,1888,Rodrigo Rey,Independiente,Primera División,Argentina,75,73,73,70,75,76,GK,73,18,53,23,70,Right
162,1888,Joel Robles,Estoril Praia,Liga Portugal,Spain,75,76,73,71,72,77,GK,73,11,53,15,68,Right
163,1888,Diego Rodríguez,Argentinos Jrs.,Sudamericana,Argentina,75,73,72,76,74,76,GK,72,18,57,74,73,Left
164,1888,Bruno Varela,Vitória SC,Liga Portugal,Cape Verde Islands,75,75,73,69,73,76,GK,73,16,52,24,71,Right
165,1888,Jason Steele,Brighton,Premier League,England,75,75,73,80,75,74,GK,73,15,60,24,65,Right
166,1888,Mile Svilar,AS Roma,Serie A Enilive,Serbia,75,75,73,70,75,78,GK,73,14,53,37,70,Right
167,1888,Maarten Vandevoordt,RB Leipzig,Bundesliga,Belgium,75,77,74,73,73,76,GK,74,7,55,15,68,Right
168,1888,Robin Zentner,1. FSV Mainz 05,Bundesliga,Germany,75,76,73,57,72,80,GK,73,14,43,25,76,Right
169,2318,Vasilios Barkas,FC Utrecht,Eredivisie,Greece,74,74,72,73,72,75,GK,72,10,55,20,75,Left
170,2318,Rubén Blanco,OM,Ligue 1 McDonald's,Spain,74,79,72,73,70,74,GK,72,18,55,22,66,Right
171,2318,Arnaud Bodart,Standard Liège,1A Pro League,Belgium,74,77,71,69,74,74,GK,71,22,52,10,67,Right
172,2318,Elia Caprile,SSC Napoli,Serie A Enilive,Italy,74,72,72,72,74,77,GK,72,7,54,18,66,Right
173,2318,Dani Cárdenas,Rayo Vallecano,LALIGA EA SPORTS,Spain,74,74,71,73,68,77,GK,71,5,55,17,74,Right
174,2318,Caro,Cádiz CF,LALIGA HYPERMOTION,Spain,74,74,70,69,76,75,GK,70,14,52,32,73,Right
175,2318,Brayan Cortés,Colo-Colo,Libertadores,Chile,74,73,73,74,71,76,GK,73,14,56,21,68,Right
176,2318,Alessio Cragno,Monza,Serie A Enilive,Italy,74,74,72,70,74,75,GK,72,12,53,31,72,Right
177,2318,Finn Dahmen,FC Augsburg,Bundesliga,Germany,74,74,68,76,72,78,GK,68,8,57,11,73,Right
178,2318,Maxime Dupé,OGC Nice,Ligue 1 McDonald's,France,74,76,73,72,71,74,GK,73,10,54,18,66,Right
179,2318,Aarón,R. Oviedo,LALIGA HYPERMOTION,Spain,74,72,74,71,72,74,GK,74,15,53,21,72,Right
180,2318,Jean,Cerro Porteño,Libertadores,Brazil,74,74,73,68,74,78,GK,73,10,51,66,61,Left
181,2318,Hernán Galíndez,Huracán,Primera División,Ecuador,74,74,73,70,76,74,GK,73,15,53,20,65,Right
182,2318,Andreas Gianniotis,Kasımpaşa,Trendyol Süper Lig,Greece,74,77,71,66,71,77,GK,71,12,50,26,70,Right
183,2318,Angus Gunn,Norwich,EFL Championship,Scotland,74,75,71,72,71,76,GK,71,15,54,19,67,Right
184,2318,Marwin Hitz,FC Basel 1893,CSSL,Switzerland,74,72,73,75,79,73,GK,73,25,56,22,65,Right
185,2318,Martin Jedlička,Viktoria Plzeň,Česká Liga,Czech Republic,74,73,74,70,72,75,GK,74,6,53,12,70,Right
186,2318,Viktor Johansson,Stoke City,EFL Championship,Sweden,74,75,71,70,73,77,GK,71,6,53,14,70,Right
187,2318,Jesse Joronen,Venezia,Serie A Enilive,Finland,74,73,73,69,74,75,GK,73,13,52,14,71,Right
188,2318,Gautier Larsonneur,AS Saint-Étienne,Ligue 1 McDonald's,France,74,72,72,72,73,75,GK,72,19,54,21,70,Right
189,2318,Lee Chang Geun,Daejeon,K League 1,Korea Republic,74,73,74,67,72,77,GK,74,19,50,24,66,Right
190,2318,Yury Lodygin,Panathinaikos,Hellas Liga,Russia,74,76,70,73,71,78,GK,70,16,55,22,63,Right
191,2318,Tomás Marchiori,Vélez Sarsfield,Primera División,Argentina,74,74,73,71,74,74,GK,73,6,53,20,70,Right
192,2318,Illan Meslier,Leeds United,EFL Championship,France,74,75,73,70,70,76,GK,73,11,53,11,72,Left
193,2318,Marius Müller,VfL Wolfsburg,Bundesliga,Germany,74,75,71,59,75,78,GK,71,10,44,18,70,Right
194,2318,Maduka Okoye,Udinese,Serie A Enilive,Nigeria,74,73,72,68,74,78,GK,72,6,51,14,70,Right
195,2318,Robin Olsen,Aston Villa,Premier League,Sweden,74,74,70,76,76,74,GK,70,11,57,26,68,Right
196,2318,Patrick Pentz,Brøndby IF,3F Superliga,Austria,74,73,71,71,72,76,GK,71,13,53,24,70,Left
197,2318,Moisés Ramírez,IDV,Libertadores,Ecuador,74,74,71,68,72,75,GK,71,8,51,13,72,Right
198,2318,Dmytro Riznyk,Shakhtar Donetsk,Ukrayina Liha,Ukraine,74,74,66,76,77,75,GK,66,14,57,30,68,Right
199,2318,Marek Rodák,Ettifaq FC,ROSHN Saudi League,Slovakia,74,74,71,72,72,75,GK,71,20,54,23,71,Right
200,2318,Manuel Roffo,Instituto,Primera División,Argentina,74,75,72,72,72,75,GK,72,8,54,30,68,Right
201,2318,Alexander Schlager,RB Salzburg,Ö. Bundesliga,Austria,74,73,72,66,73,76,GK,72,14,50,22,69,Right
202,2318,Marcel Schuhen,SV Darmstadt 98,Bundesliga 2,Germany,74,74,71,70,72,76,GK,71,19,53,26,73,Right
203,2318,Ibrahim Šehić,Al Khaleej,ROSHN Saudi League,Bosnia and Herzegovina,74,70,74,63,77,74,GK,74,7,47,13,69,Left
204,2318,Martín Silva,Libertad,Libertadores,Uruguay,74,77,73,73,74,75,GK,73,13,55,25,62,Right
205,2318,Sivera,D. Alavés,LALIGA EA SPORTS,Spain,74,74,72,75,73,76,GK,72,15,56,24,69,Right
206,2318,Juan Soriano,CD Leganés,LALIGA EA SPORTS,Spain,74,74,70,68,73,76,GK,70,14,51,28,71,Left
207,2318,Thomas Strakosha,AEK Athens,Hellas Liga,Albania,74,74,73,72,71,75,GK,73,15,54,21,76,Right
208,2318,Arnau Tenas,Paris SG,Ligue 1 McDonald's,Spain,74,73,70,80,72,77,GK,70,5,60,15,72,Right
209,2318,Stefano Turati,Monza,Serie A Enilive,Italy,74,75,71,71,74,78,GK,71,10,53,17,65,Right
210,2318,Matt Turner,Crystal Palace,Premier League,United States,74,74,72,67,73,74,GK,72,15,50,14,71,Right
211,2318,Sven Ulreich,FC Bayern München,Bundesliga,Germany,74,75,69,62,73,79,GK,69,12,47,22,73,Right
212,2318,Iván Villar,RC Celta,LALIGA EA SPORTS,Spain,74,73,72,71,74,76,GK,72,12,53,23,72,Right
213,2318,Odysseas Vlachodimos,Newcastle Utd,Premier League,Greece,74,75,73,66,74,74,GK,73,12,50,18,72,Right
214,2882,Cristian Álvarez,Real Zaragoza,LALIGA HYPERMOTION,Argentina,73,75,70,69,73,72,GK,70,11,52,14,66,Right
215,2882,Noah Atubolu,SC Freiburg,Bundesliga,Germany,73,73,69,70,72,74,GK,69,8,53,14,70,Right
216,2882,Francesco Bardi,Reggiana,Serie BKT,Italy,73,74,71,70,71,74,GK,71,10,53,21,70,Right
217,2882,Gavin Bazunu,Southampton,Premier League,Republic of Ireland,73,74,72,74,69,76,GK,72,5,56,15,65,Right
218,2882,Vid Belec,APOEL FC,Liga Cyprus,Slovenia,73,72,71,68,73,76,GK,71,10,51,23,70,Right
219,2882,Dimitry Bertaud,Montpellier,Ligue 1 McDonald's,Congo DR,73,73,69,72,72,75,GK,69,15,54,18,67,Right
220,2882,Jorge Broun,Rosario Central,Libertadores,Argentina,73,71,71,70,75,73,GK,71,17,53,23,66,Right
221,2882,Oliver Christensen,Fiorentina,Serie A Enilive,Denmark,73,75,70,69,69,79,GK,70,5,52,10,63,Right
