,Unnamed: 0,Rank,Name,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Acceleration,Sprint Speed,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick Accuracy,Short Passing,Long Passing,Curve,Dribbling,Agility,Balance,Reactions,Ball Control,Composure,Interceptions,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression,Position,Weak foot,Skill moves,Preferred foot,Height,Weight,Alternative positions,Age,Nation,League,Team,play style,url,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
62,62,94,Unai Simón,86,85,81,78,86,49,85,48,50,14,14,59,13,17,24,48,16,14,38,34,20,12,37,47,82,16,46,26,18,11,18,12,74,44,76,29,GK,3,1,Right,"190cm / 6'3""",89kg / 196lb,,27,Spain,LALIGA EA SPORTS,Athletic Club,"1v1 Close Down, Footwork, Long Ball Pass, Pinged Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/unai-simon/230869,85.0,81.0,78.0,85.0,86.0
63,63,97,Manuel Neuer,86,83,81,90,83,49,88,48,50,12,13,68,16,11,49,70,15,11,60,68,14,30,51,35,84,44,70,30,25,17,10,11,77,43,80,29,GK,4,1,Right,"193cm / 6'4""",93kg / 205lb,,38,Germany,Bundesliga,FC Bayern München,"Pinged Pass+, Far Throw, Long Ball Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/manuel-neuer/167495,83.0,81.0,90.0,88.0,83.0
77,77,101,Giorgi Mamardashvili,85,86,83,72,85,48,85,48,48,8,9,54,7,7,11,34,13,10,20,20,11,11,40,26,74,22,26,8,14,5,12,10,71,45,74,25,GK,3,1,Left,"199cm / 6'6""",88kg / 194lb,,23,Georgia,LALIGA EA SPORTS,Valencia CF,"Cross Claimer, Far Throw",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/giorgi-mamardashvili/262621,86.0,83.0,72.0,85.0,85.0
97,97,149,Yassine Bounou,84,81,82,77,86,38,83,38,37,10,14,58,19,13,24,62,15,19,39,44,12,20,47,29,80,12,57,12,14,20,18,15,66,43,69,25,GK,2,1,Left,"195cm / 6'5""",78kg / 172lb,,33,Morocco,ROSHN Saudi League,Al Hilal,"Far Throw+, Cross Claimer, Footwork",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/yassine-bounou/209981,81.0,82.0,77.0,83.0,86.0
113,113,149,Lukáš Hrádecký,84,85,80,69,87,40,82,38,44,9,11,52,14,9,20,53,11,15,30,33,11,10,43,39,82,20,45,18,11,10,10,13,60,34,55,31,GK,3,1,Right,"192cm / 6'4""",85kg / 187lb,,34,Finland,Bundesliga,Leverkusen,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lukas-hradecky/190941,85.0,80.0,69.0,82.0,87.0
117,117,149,Diogo Costa,84,83,78,82,86,35,83,33,39,18,6,62,9,8,14,67,13,10,50,55,10,18,42,35,83,30,44,18,11,19,13,11,61,28,63,23,GK,2,1,Right,"192cm / 6'4""",84kg / 185lb,,24,Portugal,Liga Portugal,FC Porto,"1v1 Close Down, Far Throw, Long Ball Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/diogo-costa/234577,83.0,78.0,82.0,83.0,86.0
123,123,149,Álex Remiro,84,84,79,80,86,42,86,40,46,11,13,60,11,15,24,35,12,17,36,29,14,19,70,40,79,26,55,20,13,14,17,18,68,42,73,34,GK,4,1,Right,"192cm / 6'4""",79kg / 174lb,,29,Spain,LALIGA EA SPORTS,Real Sociedad,"Far Throw, Footwork",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alex-remiro/227127,84.0,79.0,80.0,86.0,86.0
127,127,149,Guglielmo Vicario,84,84,80,79,87,52,84,54,49,13,6,59,5,7,13,69,11,10,58,55,14,22,56,38,82,44,63,15,11,23,11,13,67,38,60,35,GK,4,1,Right,"194cm / 6'4""",76kg / 168lb,,27,Italy,Premier League,Spurs,Footwork,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/guglielmo-vicario/240091,84.0,80.0,79.0,84.0,87.0
165,165,222,André Onana,83,83,75,87,86,61,79,62,60,11,12,65,17,13,27,68,15,17,57,58,30,26,66,53,83,40,65,15,20,12,18,14,79,40,78,38,GK,3,1,Right,"190cm / 6'3""",93kg / 205lb,,28,Cameroon,Premier League,Man Utd,"1v1 Close Down, Footwork",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/andre-onana/226753,83.0,75.0,87.0,79.0,86.0
171,171,222,Jordan Pickford,83,83,78,88,87,53,80,57,47,18,19,66,13,20,48,69,17,16,59,61,18,15,57,55,77,42,65,24,18,21,20,12,75,42,72,45,GK,4,1,Left,"185cm / 6'1""",77kg / 170lb,,30,England,Premier League,Everton,"Far Throw, Footwork, Long Ball Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jordan-pickford/204935,83.0,78.0,88.0,80.0,87.0
172,172,222,Nick Pope,83,82,82,75,85,49,82,50,47,13,14,56,15,14,22,50,11,12,42,52,13,15,36,42,80,25,63,23,11,19,15,14,71,37,75,36,GK,3,1,Right,"199cm / 6'6""",76kg / 168lb,,32,England,Premier League,Newcastle Utd,Footwork,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/nick-pope/203841,82.0,82.0,75.0,82.0,85.0
174,174,222,Ivan Provedel,83,84,79,80,85,42,84,44,40,16,17,60,20,14,22,63,21,13,61,56,13,16,38,44,75,22,68,22,23,22,22,21,65,28,56,27,GK,2,1,Right,"192cm / 6'4""",84kg / 185lb,,30,Italy,Serie A Enilive,Latium,"Deflector, Far Throw, Footwork",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ivan-provedel/224987,84.0,79.0,80.0,84.0,85.0
176,176,222,David Raya,83,82,81,86,82,57,81,64,46,15,19,65,14,20,26,68,12,15,62,67,18,19,68,45,80,43,68,11,20,28,14,13,62,31,38,29,GK,3,1,Right,"183cm / 6'0""",75kg / 165lb,,28,Spain,Premier League,Arsenal,Cross Claimer,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/david-raya/220901,82.0,81.0,86.0,81.0,82.0
198,198,322,Oliver Baumann,82,81,80,78,83,39,79,37,41,10,11,59,13,11,22,44,14,11,34,30,12,19,45,43,82,17,52,21,16,15,18,14,66,39,69,32,GK,2,1,Right,"187cm / 6'2""",82kg / 181lb,,34,Germany,Bundesliga,TSG Hoffenheim,"Deflector, Footwork",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/oliver-baumann/193698,81.0,80.0,78.0,79.0,83.0
205,205,322,Marco Carnesecchi,82,84,79,71,85,30,83,24,39,9,8,53,10,7,17,54,11,12,36,31,18,14,40,25,70,21,40,13,20,16,15,12,58,28,55,27,GK,3,1,Right,"191cm / 6'3""",83kg / 183lb,,24,Italy,Serie A Enilive,Bergamo Calcio,1v1 Close Down,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/marco-carnesecchi/252154,84.0,79.0,71.0,83.0,85.0
206,206,322,Koen Casteels,82,82,79,74,85,45,83,44,46,15,15,56,18,13,20,42,15,13,35,37,20,14,50,43,79,23,40,16,14,11,19,17,69,44,72,33,GK,2,1,Left,"197cm / 6'6""",86kg / 190lb,,32,Belgium,ROSHN Saudi League,Al Qadisiyah,1v1 Close Down,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/koen-casteels/192984,82.0,79.0,74.0,83.0,85.0
226,226,322,Paulo Gazzaniga,82,82,80,83,81,57,82,57,56,15,12,62,19,13,40,64,23,21,49,54,31,20,65,60,78,31,61,19,14,23,21,14,66,42,55,40,GK,3,1,Right,"196cm / 6'5""",90kg / 198lb,,32,Argentina,LALIGA EA SPORTS,Girona FC,"Cross Claimer, Footwork",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/paulo-gazzaniga/205186,82.0,80.0,83.0,82.0,81.0
231,231,322,Péter Gulácsi,82,82,82,75,81,43,83,42,44,11,10,56,12,10,24,44,16,11,35,31,18,19,41,42,79,25,45,23,23,25,16,20,72,37,74,34,GK,2,1,Right,"191cm / 6'3""",86kg / 190lb,,34,Hungary,Bundesliga,RB Leipzig,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/peter-gulacsi/185122,82.0,82.0,75.0,83.0,81.0
244,244,322,Jeremías Conan Ledesma,82,82,79,75,83,46,81,49,42,15,16,56,22,19,25,44,18,18,35,28,20,17,40,50,78,13,42,22,17,15,15,14,68,40,65,25,GK,2,1,Right,"186cm / 6'1""",83kg / 183lb,,31,Argentina,Libertadores,River Plate,"Cross Claimer, Deflector, Far Throw",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jeremias-conan-ledesma/219522,82.0,79.0,75.0,81.0,83.0
245,245,322,Bernd Leno,82,83,79,76,84,53,82,54,51,7,9,57,14,10,23,53,9,8,50,48,9,16,51,44,75,35,63,25,13,27,15,18,70,44,70,28,GK,3,1,Right,"189cm / 6'2""",83kg / 183lb,,32,Germany,Premier League,Fulham,1v1 Close Down,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/bernd-leno/192563,83.0,79.0,76.0,82.0,84.0
261,261,322,Brice Samba,82,79,83,80,84,53,81,49,60,11,9,60,10,13,15,48,10,13,48,36,14,12,39,54,80,22,66,18,15,12,14,12,73,37,78,26,GK,3,1,Left,"187cm / 6'2""",90kg / 198lb,,30,France,Ligue 1 McDonald's,RC Lens,Footwork,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/brice-samba/204883,79.0,83.0,80.0,81.0,84.0
273,273,322,Kevin Trapp,82,82,80,76,84,46,79,43,50,12,13,57,13,12,17,46,13,12,25,12,14,10,42,37,83,24,64,22,11,15,14,10,69,45,75,30,GK,4,1,Right,"189cm / 6'2""",84kg / 185lb,,34,Germany,Bundesliga,Frankfurt,"Far Throw, Footwork",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/kevin-trapp/188943,82.0,80.0,76.0,79.0,84.0
283,283,458,Alphonse Areola,81,82,77,74,83,55,80,56,54,17,19,56,14,16,25,59,20,16,48,55,16,15,58,58,79,22,64,23,14,13,18,12,76,38,79,26,GK,3,1,Right,"195cm / 6'5""",94kg / 207lb,,31,France,Premier League,West Ham,Far Throw,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alphonse-areola/193105,82.0,77.0,74.0,80.0,83.0
291,291,458,Rui Silva,81,82,76,77,84,31,81,31,30,20,20,58,14,20,30,55,13,20,29,30,19,18,34,24,73,24,49,27,14,25,10,19,62,27,66,19,GK,3,1,Right,"191cm / 6'3""",91kg / 201lb,,30,Portugal,LALIGA EA SPORTS,Real Betis,"Deflector, Footwork",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/rui-silva/210385,82.0,76.0,77.0,81.0,84.0
317,317,458,Andriy Lunin,81,80,78,77,82,37,80,39,35,11,8,58,7,12,19,60,15,15,25,26,14,11,36,25,80,15,56,19,12,22,13,11,62,32,61,22,GK,3,1,Right,"191cm / 6'3""",83kg / 183lb,,25,Ukraine,LALIGA EA SPORTS,Real Madrid,Footwork,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/andriy-lunin/243952,80.0,78.0,77.0,80.0,82.0
321,321,458,Alex Meret,81,80,78,72,84,44,83,41,48,20,17,54,17,20,21,25,15,21,30,25,20,16,46,48,76,25,67,22,19,10,21,12,66,29,65,22,GK,3,1,Left,"192cm / 6'4""",82kg / 181lb,,27,Italy,Serie A Enilive,SSC Napoli,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alex-meret/225116,80.0,78.0,72.0,83.0,84.0
324,324,458,Fernando Muslera,81,81,81,71,80,35,82,30,42,13,10,53,10,10,24,56,15,10,44,47,14,25,55,62,79,27,60,23,12,12,16,16,62,40,68,32,GK,2,1,Right,"190cm / 6'3""",74kg / 163lb,,38,Uruguay,Trendyol Süper Lig,Galatasaray,"1v1 Close Down, Cross Claimer, Far Throw, Long Ball Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/fernando-muslera/182494,81.0,81.0,71.0,82.0,80.0
326,326,458,Stefan Ortega,81,79,77,86,84,52,81,51,53,10,15,65,12,13,24,66,18,12,50,60,30,26,42,54,78,41,56,27,20,29,12,15,73,33,73,29,GK,4,1,Right,"185cm / 6'1""",88kg / 194lb,,31,Germany,Premier League,Manchester City,"Far Reach, Footwork",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/stefan-ortega/200159,79.0,77.0,86.0,81.0,84.0
329,329,458,Aaron Ramsdale,81,81,79,85,83,48,78,47,50,18,14,64,15,16,25,65,15,16,54,53,17,18,53,49,79,33,62,24,15,20,16,15,64,35,59,35,GK,3,1,Right,"191cm / 6'3""",77kg / 170lb,,26,England,Premier League,Southampton,"Cross Claimer, Deflector",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/aaron-ramsdale/233934,81.0,79.0,85.0,78.0,83.0
338,338,458,David Soria,81,81,79,73,82,43,80,49,34,12,19,55,18,19,23,48,15,11,30,33,23,16,51,41,79,20,60,20,23,22,13,13,74,43,75,26,GK,3,1,Right,"192cm / 6'4""",85kg / 187lb,,31,Spain,LALIGA EA SPORTS,Getafe CF,Footwork,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/david-soria/223952,81.0,79.0,73.0,80.0,82.0
344,344,458,Álvaro Valles,81,80,79,79,83,41,81,40,42,9,6,59,8,8,14,67,16,8,55,52,15,12,38,35,78,14,45,15,10,9,10,19,63,40,65,22,GK,4,1,Right,"192cm / 6'4""",82kg / 181lb,,27,Spain,LALIGA EA SPORTS,UD Las Palmas,"Cross Claimer, Deflector",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alvaro-valles/246657,80.0,79.0,79.0,81.0,83.0
367,367,577,Walter Benítez,80,79,78,72,82,37,79,38,35,17,14,54,14,13,25,46,12,17,28,27,20,19,45,45,77,20,62,21,13,17,20,17,70,40,80,28,GK,2,1,Right,"191cm / 6'3""",93kg / 205lb,,31,Argentina,Eredivisie,PSV,1v1 Close Down,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/walter-benitez/215223,79.0,78.0,72.0,79.0,82.0
375,375,577,Lucas Chevalier,80,80,79,72,83,45,78,47,43,7,9,54,8,9,16,47,12,14,25,22,15,14,38,38,79,17,45,10,12,10,10,11,60,39,53,23,GK,3,1,Right,"189cm / 6'2""",78kg / 172lb,,22,France,Ligue 1 McDonald's,LOSC Lille,1v1 Close Down,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lucas-chevalier/251752,80.0,79.0,72.0,78.0,83.0
381,381,577,Michele Di Gregorio,80,82,78,78,82,56,82,55,57,9,9,59,18,11,17,65,13,14,48,46,17,28,55,55,68,30,56,15,11,21,14,10,69,36,68,26,GK,3,1,Right,"187cm / 6'2""",82kg / 181lb,,27,Italy,Serie A Enilive,Juventus,"1v1 Close Down, Footwork",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/michele-di-gregorio/235840,82.0,78.0,78.0,82.0,82.0
387,387,577,Wladimiro Falcone,80,83,79,75,84,27,76,26,28,5,19,56,20,13,29,35,17,12,25,26,16,13,33,34,68,20,44,8,13,6,11,16,59,28,62,15,GK,2,1,Right,"196cm / 6'5""",85kg / 187lb,,29,Italy,Serie A Enilive,Lecce,"1v1 Close Down, Footwork",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/wladimiro-falcone/210676,83.0,79.0,75.0,76.0,84.0
410,410,577,Bento,80,79,76,77,83,28,81,29,27,6,5,58,9,9,15,69,11,13,17,23,14,9,24,24,77,16,30,9,13,5,13,10,58,19,58,22,GK,2,1,Right,"190cm / 6'3""",80kg / 176lb,,25,Brazil,ROSHN Saudi League,Al Nassr,Deflector,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/bento/73562,79.0,76.0,77.0,81.0,83.0
412,412,577,Dominik Livaković,80,80,76,71,83,56,80,57,54,11,12,53,9,10,15,60,13,11,50,60,12,19,65,30,81,28,64,21,13,24,20,21,74,32,75,26,GK,2,1,Right,"188cm / 6'2""",79kg / 174lb,,29,Croatia,Trendyol Süper Lig,Fenerbahçe,"Far Throw, Footwork",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/dominik-livakovic/241671,80.0,76.0,71.0,80.0,83.0
421,421,577,Édouard Mendy,80,78,77,75,81,34,79,33,36,6,5,56,9,9,13,50,10,14,54,54,13,18,50,33,80,31,57,13,10,10,11,13,64,36,72,22,GK,2,1,Right,"197cm / 6'6""",86kg / 190lb,,32,Senegal,ROSHN Saudi League,Al Ahli,Cross Claimer,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/edouard-mendy/234642,78.0,77.0,75.0,79.0,81.0
428,428,577,Alexander Nübel,80,81,76,81,82,48,78,49,46,10,18,61,18,13,16,65,15,20,55,48,20,26,34,58,79,41,69,20,13,23,14,13,70,39,74,23,GK,5,1,Right,"193cm / 6'4""",86kg / 190lb,,27,Germany,Bundesliga,VfB Stuttgart,"Cross Claimer, Deflector",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alexander-nubel/223885,81.0,76.0,81.0,78.0,82.0
439,439,577,Kasper Schmeichel,80,77,76,79,78,42,80,38,47,13,12,59,14,15,26,59,18,15,44,52,13,12,57,47,80,40,65,20,16,14,14,13,64,31,65,35,GK,3,1,Right,"189cm / 6'2""",88kg / 194lb,,37,Denmark,Scottish Prem,Celtic,Deflector,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/kasper-schmeichel/163587,77.0,76.0,79.0,80.0,78.0
449,449,577,Lars Unnerstall,80,80,80,66,83,32,80,30,34,13,13,50,12,15,16,42,10,11,26,29,13,16,20,20,75,19,58,21,10,11,17,15,60,35,82,36,GK,1,1,Right,"198cm / 6'6""",103kg / 227lb,,34,Germany,Eredivisie,FC Twente,Footwork,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lars-unnerstall/199833,80.0,80.0,66.0,80.0,83.0
466,466,736,Kepa,79,78,77,83,82,40,77,38,42,10,11,62,10,10,23,60,13,15,60,60,20,20,45,38,76,33,62,20,15,20,17,18,60,35,55,20,GK,4,1,Right,"189cm / 6'2""",85kg / 187lb,,29,Spain,Premier League,AFC Bournemouth,Footwork,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/kepa/206585,78.0,77.0,83.0,77.0,82.0
467,467,736,Emil Audero,79,80,74,73,83,53,76,55,49,8,16,55,19,18,22,30,13,12,29,19,12,19,53,51,76,18,56,11,19,10,10,10,67,25,55,24,GK,2,1,Right,"192cm / 6'4""",83kg / 183lb,,27,Italy,Serie A Enilive,Como,Cross Claimer,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/emil-audero/228413,80.0,74.0,73.0,76.0,83.0
480,480,736,Marco Bizot,79,79,76,72,80,46,79,45,47,13,15,54,14,13,36,56,20,15,28,33,20,12,50,40,76,32,47,17,16,11,12,14,66,32,64,39,GK,2,1,Right,"193cm / 6'4""",88kg / 194lb,,33,Holland,Ligue 1 McDonald's,Stade Brestois 29,"Deflector, Far Throw, Footwork, Long Ball Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/marco-bizot/200110,79.0,76.0,72.0,79.0,80.0
485,485,736,Marcin Bułka,79,79,76,71,81,27,79,28,25,8,8,53,7,5,18,49,12,14,35,33,13,13,41,28,73,15,58,11,10,15,10,14,65,37,77,25,GK,2,1,Right,"199cm / 6'6""",90kg / 198lb,,24,Poland,Ligue 1 McDonald's,OGC Nice,Footwork,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/marcin-bu-ka/238186,79.0,76.0,71.0,79.0,81.0
502,502,736,Stole Dimitrievski,79,78,80,74,79,36,78,35,38,15,20,56,17,15,21,51,11,17,23,27,17,18,44,43,77,19,53,21,14,19,19,17,66,40,72,17,GK,2,1,Right,"188cm / 6'2""",84kg / 185lb,,30,North Macedonia,LALIGA EA SPORTS,Valencia CF,"Far Throw, Footwork",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/stole-dimitrievski/211348,78.0,80.0,74.0,78.0,79.0
513,513,736,Mark Flekken,79,80,74,83,82,32,77,29,36,14,16,62,11,14,23,43,14,12,39,42,19,12,34,38,78,34,39,12,11,15,13,20,63,28,72,32,GK,4,1,Right,"195cm / 6'5""",87kg / 192lb,,31,Holland,Premier League,Brentford,"Footwork, Long Ball Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mark-flekken/211738,80.0,74.0,83.0,77.0,82.0
528,528,736,Dean Henderson,79,80,76,78,81,55,75,55,56,8,9,59,6,5,16,55,14,10,45,48,13,13,61,56,75,35,60,11,13,15,14,14,68,32,64,35,GK,3,1,Right,"188cm / 6'2""",85kg / 187lb,,27,England,Premier League,Crystal Palace,Footwork,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/dean-henderson/233306,80.0,76.0,78.0,75.0,81.0
547,547,736,Matheus,79,82,75,81,80,45,77,44,47,12,12,61,15,13,13,52,15,12,27,36,21,12,45,48,75,22,46,26,14,16,20,15,68,32,71,19,GK,3,1,Right,"190cm / 6'3""",84kg / 185lb,,32,Brazil,Liga Portugal,SC Braga,"Far Reach, Far Throw, Long Ball Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/matheus/208104,82.0,75.0,81.0,77.0,80.0
548,548,736,Hugo Lloris,79,81,76,67,82,54,78,55,53,9,10,50,14,16,40,57,14,11,50,52,14,13,49,56,75,29,53,25,10,24,13,18,55,31,39,31,GK,1,1,Left,"188cm / 6'2""",82kg / 181lb,,37,France,MLS,LAFC,Deflector,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/hugo-lloris/167948,81.0,76.0,67.0,78.0,82.0
550,550,736,Anthony Lopes,79,80,76,69,83,65,76,65,64,9,18,52,18,13,16,48,19,14,32,31,15,15,67,62,78,21,65,25,16,13,15,13,76,36,73,45,GK,2,1,Left,"184cm / 6'0""",81kg / 179lb,,33,Portugal,Ligue 1 McDonald's,OL,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/anthony-lopes/199482,80.0,76.0,69.0,76.0,83.0
551,551,736,Pau López,79,77,77,79,82,48,80,45,52,20,19,59,18,17,25,69,24,21,63,55,23,18,40,57,74,43,62,16,15,19,20,11,60,42,52,39,GK,3,1,Left,"189cm / 6'2""",77kg / 170lb,,29,Spain,LALIGA EA SPORTS,Girona FC,"Deflector, Far Throw",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/pau-lopez/221087,77.0,77.0,79.0,80.0,82.0
