Index,Rank,Name,Team,League,Nation,OVR,SHO,Finishing,Shot Power,Penalties,Reactions,Position,Preferred foot
64,222,Douglas Luiz,Juventus,Serie A Enilive,Brazil,83,78,74,79,83,79,CM,Right
65,322,Alexandre Lacazette,OL,Ligue 1 McDonald's,France,82,84,87,85,83,83,ST,Right
66,577,Pepelu,Valencia CF,LALIGA EA SPORTS,Spain,80,70,66,74,83,77,CM,Right
67,970,Nabil Bentaleb,LOSC Lille,Ligue 1 McDonald's,Algeria,78,72,65,83,83,76,CDM,Left
68,1218,Edinson Cavani,Boca Juniors,Sudamericana,Uruguay,77,80,81,83,83,82,ST,Right
69,1218,Jamie Vardy,Leicester City,Premier League,England,77,78,81,81,83,76,ST,Right
70,1525,Álex Fernández,Cádiz CF,LALIGA HYPERMOTION,Spain,76,70,69,68,83,76,CM,Right
71,1888,Dániel Gazdag,Philadelphia,MLS,Hungary,75,73,74,72,83,70,CAM,Right
72,2318,Arturo Vidal,Colo-Colo,Libertadores,Chile,74,74,69,80,83,72,CM,Right
73,2882,Nicolás Lodeiro,Orlando City,MLS,Uruguay,73,71,68,69,83,77,CAM,Left
74,2882,Gustaf Nilsson,Club Brugge,1A Pro League,Sweden,73,75,77,76,83,73,ST,Right
75,4260,Maximilian Philipp,SC Freiburg,Bundesliga,Germany,71,73,72,76,83,74,ST,Right
76,72,Rodrygo,Real Madrid,LALIGA EA SPORTS,Brazil,86,81,86,76,82,84,RW,Right
77,149,Iago Aspas,RC Celta,LALIGA EA SPORTS,Spain,84,86,90,82,82,86,ST,Left
78,222,Pedro Gonçalves,Sporting CP,Liga Portugal,Portugal,83,82,84,78,82,84,LW,Right
79,322,Luis Suárez,Inter Miami CF,MLS,Uruguay,82,85,85,85,82,85,ST,Right
80,577,Téji Savanier,Montpellier,Ligue 1 McDonald's,France,80,76,73,78,82,78,CAM,Right
81,736,Steven Berghuis,Ajax,Eredivisie,Holland,79,80,81,82,82,77,RW,Left
82,970,Teddy Teuma,Stade de Reims,Ligue 1 McDonald's,Malta,78,78,73,87,82,76,CM,Left
83,1218,Georges Mikautadze,OL,Ligue 1 McDonald's,Georgia,77,78,80,77,82,76,ST,Right
84,1525,Josip Juranović,Union Berlin,Bundesliga,Croatia,76,64,57,78,82,74,RB,Right
85,1525,Gonzalo Montiel,Sevilla FC,LALIGA EA SPORTS,Argentina,76,62,58,68,82,74,RB,Right
86,1888,Sérgio Oliveira,Galatasaray,Trendyol Süper Lig,Portugal,75,75,70,80,82,71,CM,Right
87,2318,Bojan Miovski,Girona FC,LALIGA EA SPORTS,North Macedonia,74,76,80,79,82,76,ST,Left
88,2882,Marcus Ingvartsen,FC Nordsjælland,3F Superliga,Denmark,73,77,76,79,82,75,ST,Left
89,2882,Nicolas Viola,Cagliari,Serie A Enilive,Italy,73,72,68,76,82,64,CAM,Left
90,3521,Ai Kesen,Rongcheng FC,CSL,China PR,72,75,75,77,82,71,LW,Right
91,3521,Luca Waldschmidt,1. FC Köln,Bundesliga 2,Germany,72,76,73,81,82,73,ST,Left
92,4260,Thomas Henry,Palermo,Serie BKT,France,71,73,74,80,82,72,ST,Right
93,4260,Tobias Kempe,SV Darmstadt 98,Bundesliga 2,Germany,71,73,69,80,82,72,CM,Right
94,6884,Andy,FC Cartagena,LALIGA HYPERMOTION,Spain,68,65,64,67,82,68,CM,Left
95,22,Mohamed Salah,Liverpool,Premier League,Egypt,89,87,90,82,81,93,RW,Left
96,149,Viktor Gyökeres,Sporting CP,Liga Portugal,Sweden,84,83,86,85,81,84,ST,Right
97,222,Mauro Icardi,Galatasaray,Trendyol Süper Lig,Argentina,83,83,86,85,81,84,ST,Right
98,222,Viktor Tsygankov,Girona FC,LALIGA EA SPORTS,Ukraine,83,80,82,78,81,80,RM,Left
99,322,Pierre-Emerick Aubameyang,Al Qadisiyah,ROSHN Saudi League,Gabon,82,83,85,82,81,83,ST,Right
100,322,Emre Can,Borussia Dortmund,Bundesliga,Germany,82,78,74,85,81,79,CDM,Right
101,577,Bryan Mbeumo,Brentford,Premier League,Cameroon,80,80,81,83,81,76,RW,Left
102,577,Vedat Muriqi,RCD Mallorca,LALIGA EA SPORTS,Kosovo,80,82,84,82,81,82,ST,Left
103,577,Ivan Rakitić,Hajduk Split,Liga Hrvatska,Croatia,80,79,76,85,81,77,CM,Right
104,736,Boulaye Dia,Latium,Serie A Enilive,Senegal,79,80,83,84,81,78,ST,Right
105,736,Santiago Giménez,Feyenoord,Eredivisie,Mexico,79,80,82,83,81,74,ST,Left
106,736,Borja Mayoral,Getafe CF,LALIGA EA SPORTS,Spain,79,80,83,80,81,77,ST,Right
107,1218,Raúl De Tomás,Rayo Vallecano,LALIGA EA SPORTS,Spain,77,76,76,77,81,81,ST,Right
108,1218,Lukas Nmecha,VfL Wolfsburg,Bundesliga,Germany,77,77,78,79,81,75,ST,Right
109,1525,Florian Kainz,1. FC Köln,Bundesliga 2,Austria,76,74,72,77,81,77,CAM,Right
110,1525,Branco van den Boomen,Ajax,Eredivisie,Holland,76,75,71,79,81,71,CM,Right
111,2318,Arribas,UD Almería,LALIGA HYPERMOTION,Spain,74,76,77,78,81,64,CAM,Left
112,2318,Mislav Oršić,Trabzonspor,Trendyol Süper Lig,Croatia,74,79,76,80,81,71,LM,Right
113,2882,Youssef El Arabi,APOEL FC,Liga Cyprus,Morocco,73,76,77,74,81,72,ST,Right
114,3521,Adrian Benedyczak,Parma,Serie A Enilive,Poland,72,71,73,73,81,64,LM,Right
115,3521,Wahbi Khazri,Montpellier,Ligue 1 McDonald's,Tunisia,72,75,71,84,81,73,ST,Right
116,3521,Luis Miguel Rodríguez,Atlético Tucumán,Primera División,Argentina,72,76,76,76,81,73,ST,Right
117,4260,Birger Verstraete,OH Leuven,1A Pro League,Belgium,71,61,48,78,81,70,CM,Right
118,6884,Krisztofer Horváth,Torino,Serie A Enilive,Hungary,68,67,65,76,81,69,CAM,Right
119,9009,Gonzalo Vega,Wanderers,Sudamericana,Uruguay,66,68,70,63,81,58,LM,Right
120,63,İlkay Gündoğan,Manchester City,Premier League,Germany,87,83,85,81,80,86,CM,Right
121,149,Marcel Sabitzer,Borussia Dortmund,Bundesliga,Austria,84,84,81,88,80,86,CM,Right
122,149,Dušan Vlahović,Juventus,Serie A Enilive,Serbia,84,84,86,84,80,86,ST,Left
123,222,Lorenzo Pellegrini,AS Roma,Serie A Enilive,Italy,83,78,78,79,80,85,CAM,Right
124,222,Christian Pulisic,Milano FC,Serie A Enilive,United States,83,82,84,81,80,84,RW,Right
125,458,Daichi Kamada,Crystal Palace,Premier League,Japan,81,73,75,65,80,80,CAM,Right
126,577,Jordan Veretout,OM,Ligue 1 McDonald's,France,80,75,71,83,80,80,CM,Right
127,736,Marten de Roon,Bergamo Calcio,Serie A Enilive,Holland,79,71,66,77,80,78,CM,Right
128,736,Lewis Ferguson,Bologna,Serie A Enilive,Scotland,79,78,78,78,80,74,CM,Right
129,736,Dodi Lukébakio,Sevilla FC,LALIGA EA SPORTS,Belgium,79,78,77,83,80,74,RW,Left
130,970,Kodjo Fo-Doh Laba,Al Ain FC,United Emirates League,Togo,78,78,81,78,80,78,ST,Right
131,970,Lovro Majer,VfL Wolfsburg,Bundesliga,Croatia,78,73,71,76,80,78,CM,Left
132,1218,Ludovic Blas,Stade Rennais FC,Ligue 1 McDonald's,France,77,77,74,82,80,73,RM,Left
133,1218,Dominic Calvert-Lewin,Everton,Premier League,England,77,74,77,80,80,76,ST,Right
134,1218,Romain Faivre,Stade Brestois 29,Ligue 1 McDonald's,France,77,73,72,74,80,75,RM,Left
135,1218,Fotis Ioannidis,Panathinaikos,Hellas Liga,Greece,77,76,79,75,80,74,ST,Right
136,1218,Ricardo Rodríguez,Real Betis,LALIGA EA SPORTS,Switzerland,77,69,58,82,80,75,CB,Left
137,1218,Jonathan Rodríguez,Portland Timbers,MLS,Uruguay,77,77,77,80,80,79,ST,Right
138,1218,Óscar Trejo,Rayo Vallecano,LALIGA EA SPORTS,Argentina,77,75,74,75,80,71,CAM,Right
139,1525,Carlos Bacca,Junior,Libertadores,Colombia,76,79,84,84,80,72,ST,Right
140,1525,Enis Bardhi,Trabzonspor,Trendyol Süper Lig,North Macedonia,76,77,72,85,80,70,CAM,Right
141,1888,Ainsley Maitland-Niles,OL,Ligue 1 McDonald's,England,75,61,59,63,80,74,RB,Right
142,1888,Gonzalo Martínez,River Plate,Libertadores,Argentina,75,73,70,79,80,71,RM,Left
143,2318,Daniele Casiraghi,Südtirol,Serie BKT,Italy,74,70,67,71,80,63,LM,Right
144,2882,Roger Martí,Cádiz CF,LALIGA HYPERMOTION,Spain,73,73,71,75,80,75,ST,Right
145,3521,Marco Pérez,Junior,Libertadores,Colombia,72,75,80,72,80,70,ST,Right
146,3521,Alejandro Silva,Libertad,Libertadores,Uruguay,72,68,66,70,80,67,CM,Right
147,5902,Fredrik Ulvestad,Pogoń Szczecin,PKO BP Ekstraklasa,Norway,69,64,62,61,80,70,CM,Right
148,9009,Alexander Mühling,SV Sandhausen,3. Liga,Germany,66,67,67,69,80,63,CM,Right
149,10108,John Guidetti,AIK,Allsvenskan,Sweden,65,67,63,72,80,67,ST,Right
150,28,Antoine Griezmann,Atlético de Madrid,LALIGA EA SPORTS,France,88,88,90,85,79,90,ST,Left
151,101,David Alaba,Real Madrid,LALIGA EA SPORTS,Austria,85,71,62,82,79,88,CB,Left
152,222,Yannick Carrasco,Al Shabab,ROSHN Saudi League,Belgium,83,81,81,84,79,80,LW,Right
153,458,Arkadiusz Milik,Juventus,Serie A Enilive,Poland,81,82,83,84,79,82,ST,Left
154,458,Dominik Szoboszlai,Liverpool,Premier League,Hungary,81,80,77,89,79,80,CAM,Right
155,577,Dries Mertens,Galatasaray,Trendyol Süper Lig,Belgium,80,78,78,75,79,84,CAM,Right
156,577,Hans Vanaken,Club Brugge,1A Pro League,Belgium,80,79,81,76,79,82,CAM,Right
157,736,James Ward-Prowse,Nott'm Forest,Premier League,England,79,73,72,81,79,73,CM,Right
158,736,Yoane Wissa,Brentford,Premier League,Congo DR,79,79,81,76,79,76,LW,Right
159,970,Tammy Abraham,Milano FC,Serie A Enilive,England,78,76,77,80,79,80,ST,Right
160,970,Enes Ünal,AFC Bournemouth,Premier League,Turkey,78,80,81,81,79,77,ST,Right
161,1218,Federico Bernardeschi,Toronto FC,MLS,Italy,77,73,68,80,79,69,RW,Left
162,1218,Thorgan Hazard,RSC Anderlecht,1A Pro League,Belgium,77,74,71,77,79,78,LW,Right
163,1525,Leonardo Fernández,Peñarol,Libertadores,Uruguay,76,79,75,88,79,70,CAM,Left
164,1525,Tiago Silva,Vitória SC,Liga Portugal,Portugal,76,76,74,82,79,76,CM,Right
165,1525,Chris Wood,Nott'm Forest,Premier League,New Zealand,76,78,78,83,79,78,ST,Right
166,1888,Moussa Dembélé,Ettifaq FC,ROSHN Saudi League,France,75,74,75,78,79,75,ST,Right
167,1888,Sebastián Rodríguez,Alianza Lima,Libertadores,Uruguay,75,67,68,70,79,73,CM,Right
168,1888,Matías Rojas,Inter Miami CF,MLS,Paraguay,75,76,71,88,79,71,RW,Left
169,2318,Danny Ings,West Ham,Premier League,England,74,77,77,79,79,78,ST,Right
170,2318,Stoichkov,D. Alavés,LALIGA EA SPORTS,Spain,74,76,79,76,79,69,LM,Right
171,2318,Teemu Pukki,Minnesota United,MLS,Finland,74,75,78,75,79,80,ST,Right
172,2882,Selim Amallah,R. Valladolid CF,LALIGA EA SPORTS,Morocco,73,73,72,75,79,69,CAM,Right
173,2882,Silvio Romero,Instituto,Primera División,Argentina,73,74,73,79,79,72,ST,Right
174,3521,Josef Martínez,CF Montréal,MLS,Venezuela,72,72,70,79,79,72,ST,Right
175,3521,Patrick Mortensen,AGF,3F Superliga,Denmark,72,73,74,71,79,75,ST,Right
176,4260,Shon Weissman,Granada CF,LALIGA HYPERMOTION,Israel,71,72,72,76,79,72,ST,Right
177,5902,Thomas Mangani,AC Ajaccio,Ligue 2 BKT,France,69,64,60,67,79,67,CM,Left
178,5902,Tomás Verón,Racing Club,Sudamericana,Argentina,69,69,74,64,79,55,RW,Right
179,6884,Nicolás Castillo,Uni. Católica,Sudamericana,Chile,68,71,71,75,79,65,ST,Right
180,6884,Adrian Grbić,FC Luzern,CSSL,Austria,68,70,69,70,79,66,ST,Right
181,6884,Martín Prost,Nacional Potosí,Sudamericana,Argentina,68,68,70,66,79,65,ST,Right
182,7937,George Pușcaș,Bodrum FK,Trendyol Süper Lig,Romania,67,67,66,77,79,64,ST,Right
183,9009,Enzo Adrián López,FC Botoșani,SUPERLIGA,Argentina,66,65,66,62,79,68,ST,Right
184,149,Julián Álvarez,Atlético de Madrid,LALIGA EA SPORTS,Argentina,84,84,84,88,78,86,ST,Right
185,149,Raphinha,FC Barcelona,LALIGA EA SPORTS,Brazil,84,79,78,83,78,84,RW,Left
186,322,Darwin Núñez,Liverpool,Premier League,Uruguay,82,80,79,86,78,82,ST,Right
187,458,Orkun Kökçü,SL Benfica,Liga Portugal,Turkey,81,76,72,78,78,74,CM,Right
188,458,Isi Palazón,Rayo Vallecano,LALIGA EA SPORTS,Spain,81,78,79,75,78,76,RM,Left
189,577,Mario Götze,Frankfurt,Bundesliga,Germany,80,74,73,75,78,81,CAM,Right
190,577,Timo Werner,Spurs,Premier League,Germany,80,79,76,85,78,79,LM,Right
191,970,Amine Gouiri,Stade Rennais FC,Ligue 1 McDonald's,Algeria,78,80,79,81,78,76,LM,Right
192,970,Julian Quiñones,Al Qadisiyah,ROSHN Saudi League,Mexico,78,78,81,80,78,69,ST,Right
193,970,Carlos Soler,West Ham,Premier League,Spain,78,75,75,77,78,77,CM,Right
194,1218,Juan Fernando Quintero,Racing Club,Sudamericana,Colombia,77,76,70,84,78,71,CAM,Left
195,1218,Vesga,Athletic Club,LALIGA EA SPORTS,Spain,77,74,74,78,78,80,CM,Left
196,1525,Maxim De Cuyper,Club Brugge,1A Pro League,Belgium,76,72,68,78,78,72,LB,Left
197,1888,Fabio Borini,Sampdoria,Serie BKT,Italy,75,75,76,76,78,77,LW,Right
198,1888,Lucas Pérez,RC Deportivo,LALIGA HYPERMOTION,Spain,75,76,76,75,78,78,ST,Left
199,1888,Simone Verdi,Como,Serie A Enilive,Italy,75,71,68,74,78,70,CAM,Left
200,2318,Leandro Díaz,Lanús,Sudamericana,Argentina,74,75,80,77,78,68,ST,Right
201,2318,Anwar El Ghazi,Cardiff City,EFL Championship,Holland,74,76,74,82,78,74,LM,Right
202,2318,Sergio Gómez,Real Sociedad,LALIGA EA SPORTS,Spain,74,70,67,72,78,73,LB,Left
203,2318,Craig Goodwin,Al Wehda,ROSHN Saudi League,Australia,74,73,73,76,78,72,LM,Left
204,2318,Neal Maupay,OM,Ligue 1 McDonald's,France,74,75,75,80,78,78,ST,Right
205,2882,Andrea Petagna,Monza,Serie A Enilive,Italy,73,73,74,79,78,69,ST,Left
206,2882,Andrea Pinamonti,Genoa,Serie A Enilive,Italy,73,75,76,79,78,72,ST,Right
207,2882,Ozan Tufan,Trabzonspor,Trendyol Süper Lig,Turkey,73,75,72,82,78,72,CAM,Right
208,2882,Haji Wright,Coventry City,EFL Championship,United States,73,73,74,78,78,70,ST,Right
209,3521,Siebe Schrijvers,OH Leuven,1A Pro League,Belgium,72,73,73,73,78,71,CM,Right
210,3521,Florian Thauvin,Udinese,Serie A Enilive,France,72,75,70,82,78,69,ST,Left
211,4260,Nélson Oliveira,Vitória SC,Liga Portugal,Portugal,71,72,71,77,78,71,ST,Right
212,4260,Edgar,Daegu FC,K League 1,Brazil,71,72,74,75,78,66,ST,Right
213,5037,Jamie McGrath,Aberdeen,Scottish Prem,Republic of Ireland,70,69,69,72,78,69,RM,Right
214,5037,Dan Nistor,FC Univ. Cluj,SUPERLIGA,Romania,70,68,62,74,78,67,CAM,Right
215,6884,Gonzalo Sosa,Palestino,Libertadores,Argentina,68,71,73,74,78,64,ST,Right
216,9009,Ronaldo Chacón,Dep. La Guaira,Sudamericana,Venezuela,66,70,72,68,78,49,ST,Left
217,149,Rúben Neves,Al Hilal,ROSHN Saudi League,Portugal,84,75,66,86,77,82,CDM,Right
218,222,Edmond Tapsoba,Leverkusen,Bundesliga,Burkina Faso,83,54,57,74,77,81,CB,Right
219,322,Fabian Schär,Newcastle Utd,Premier League,Switzerland,82,68,61,80,77,83,CB,Right
220,458,Ricardo Horta,SC Braga,Liga Portugal,Portugal,81,80,79,78,77,82,CAM,Right
221,458,Richarlison,Spurs,Premier League,Brazil,81,80,81,83,77,81,ST,Right
222,458,Eberechi Eze,Crystal Palace,Premier League,England,81,81,80,79,77,79,CAM,Right
223,577,Marko Arnautović,Lombardia FC,Serie A Enilive,Austria,80,79,79,80,77,77,ST,Right
224,736,Ezequiel Ávila,Real Betis,LALIGA EA SPORTS,Argentina,79,80,79,85,77,78,ST,Right
225,736,Edin Višća,Trabzonspor,Trendyol Süper Lig,Bosnia and Herzegovina,79,78,77,80,77,74,RM,Right
226,736,Joshua Zirkzee,Man Utd,Premier League,Holland,79,77,79,76,77,78,ST,Right
227,970,Ayoub El Kaabi,Olympiacos FC,Hellas Liga,Morocco,78,80,83,80,77,69,ST,Left
228,970,Campaña,UD Las Palmas,LALIGA EA SPORTS,Spain,78,72,70,76,77,74,CM,Right
229,970,Lorenzo Insigne,Toronto FC,MLS,Italy,78,77,74,79,77,73,LW,Right
230,970,Cameron Puertas,Al Qadisiyah,ROSHN Saudi League,Switzerland,78,75,73,78,77,74,CM,Right
231,1525,Miguel Borja,River Plate,Libertadores,Colombia,76,76,77,80,77,75,ST,Right
232,1525,Kasper Dolberg,RSC Anderlecht,1A Pro League,Denmark,76,78,79,80,77,72,ST,Right
233,1525,Jesper Karlsson,Bologna,Serie A Enilive,Sweden,76,74,71,77,77,73,LW,Right
234,1525,Fran Navarro,FC Porto,Liga Portugal,Spain,76,77,78,79,77,72,ST,Right
235,1525,Cengiz Ünder,Fenerbahçe,Trendyol Süper Lig,Turkey,76,75,72,80,77,70,RW,Left
236,1525,Myrto Uzuni,Granada CF,LALIGA HYPERMOTION,Albania,76,76,78,77,77,75,ST,Right
237,1888,Harry Wilson,Fulham,Premier League,Wales,75,77,74,83,77,73,RM,Left
238,2318,Habib Diallo,Damac FC,ROSHN Saudi League,Senegal,74,74,74,78,77,72,ST,Right
239,2318,Carlton Morris,Luton Town,EFL Championship,England,74,74,74,79,77,75,ST,Right
240,2318,Samu Sáiz,Eyüpspor,Trendyol Süper Lig,Spain,74,74,72,76,77,71,CAM,Right
241,2318,Fernando Zampedri,Uni. Católica,Sudamericana,Argentina,74,78,80,81,77,68,ST,Right
242,2882,Zlatko Tripić,Viking FK,Eliteserien,Norway,73,75,73,81,77,63,LW,Right
243,2882,Deniz Türüç,Başakşehir,Trendyol Süper Lig,Turkey,73,71,65,79,77,72,RM,Left
244,2882,Marvin Wanitzek,Karlsruher SC,Bundesliga 2,Germany,73,68,62,75,77,71,CM,Right
245,3521,Lukas Podolski,Górnik Zabrze,PKO BP Ekstraklasa,Germany,72,78,73,90,77,73,CAM,Left
246,4260,Fidel,Albacete BP,LALIGA HYPERMOTION,Spain,71,68,68,70,77,74,LM,Left
247,4260,Dimitris Diamantakos,East Bengal,ISL,Greece,71,73,76,72,77,66,ST,Left
248,4260,Adam Karabec,Hamburger SV,Bundesliga 2,Czech Republic,71,65,64,66,77,68,RW,Left
249,4260,Ignacio Ramírez,Newell's,Primera División,Uruguay,71,72,74,72,77,70,ST,Right
250,4260,Cedric Teuchert,St. Louis CITY SC,MLS,Germany,71,72,74,71,77,70,ST,Right
251,5037,Luis Benítes,Sport Huancayo,Sudamericana,Peru,70,76,75,79,77,55,LM,Right
252,5037,Cameron Brannagan,Oxford United,EFL Championship,England,70,68,67,74,77,69,CDM,Right
253,5037,Andrea Compagno,Tianjin JMT FC,CSL,Italy,70,70,74,71,77,70,ST,Right
254,5037,Serdar Dursun,Alanyaspor,Trendyol Süper Lig,Turkey,70,71,71,77,77,71,ST,Right
255,5037,Jasmin Kurtić,Südtirol,Serie BKT,Slovenia,70,73,70,81,77,62,CDM,Right
256,5037,Lisandro López,Sarmiento,Primera División,Argentina,70,72,71,76,77,67,ST,Right
257,5037,Djaniny,Al Fateh,ROSHN Saudi League,Cape Verde Islands,70,70,69,76,77,64,ST,Right
258,5902,Juan Ignacio Cavallaro,Ind. Rivadavia,Primera División,Argentina,69,67,64,72,77,64,LM,Right
259,5902,Jay Rodriguez,Burnley,EFL Championship,England,69,73,72,75,77,67,ST,Right
260,6884,Jhon Cifuente,U. Católica,Sudamericana,Ecuador,68,73,74,78,77,50,ST,Right
261,7937,Onur Ergün,Başakşehir,Trendyol Süper Lig,Turkey,67,63,59,70,77,67,CDM,Right
262,7937,Guillermo,NorthEast United,ISL,Spain,67,68,70,67,77,66,ST,Right
263,10108,Bentley Baxter Bahn,Aleman. Aachen,3. Liga,Germany,65,62,58,69,77,66,CAM,Right
264,10108,Yusuf Barası,Adana Demirspor,Trendyol Süper Lig,Turkey,65,65,68,64,77,62,ST,Right
265,15274,Jeremy,R. Racing Club,LALIGA HYPERMOTION,Spain,59,60,61,57,77,56,ST,Right
